STD_NO,STD_NAME,STD_MAJOR,STD_SCORE,STD_GENDER
20227902,한예슬,컴퓨터공학,0.94,F
20224040,서윤아,경제학,3.52,F
20228643,이수정,물리학,0.45,F
20223944,최지현,전자공학,1.62,F
20227945,박영희,전자공학,3.4,F
20222072,서윤아,화학,3.65,F
20224690,최지현,기계공학,2.51,M
20223381,홍길동,컴퓨터공학,1.04,F
20228400,홍길동,경제학,3.21,M
20223980,한예슬,전자공학,1.49,M
20225014,백지연,기계공학,3.49,F
20221440,서윤아,수학,2.46,F
20221470,조윤희,수학,3.04,M
20225193,한예슬,컴퓨터공학,3.25,M
20225749,홍길동,물리학,4.37,M
20221489,김철수,컴퓨터공학,1.72,F
20221930,한예슬,전자공학,4.3,F
20228689,한예슬,물리학,2.98,M
20226356,최지현,기계공학,1.22,M
20224419,문준혁,기계공학,0.43,F
20226725,백지연,컴퓨터공학,3.72,F
20224752,오세훈,전자공학,2.31,M
20227932,서윤아,경제학,3.42,M
20225490,문준혁,경제학,3.77,F
20224248,오세훈,경영학,3.13,F
20223867,강민수,물리학,4.27,M
20226252,박찬호,물리학,2.91,M
20227366,이수정,경영학,2.0,F
20225597,서윤아,수학,2.65,M
20225571,양지훈,기계공학,3.13,F
20222971,홍길동,컴퓨터공학,4.26,M
20223746,박찬호,기계공학,0.18,F
20236634,박찬호,물리학,3.55,M
20234358,박찬호,화학,2.96,M
20233606,박영희,컴퓨터공학,4.08,M
20231467,강민수,물리학,0.36,F
20234714,서윤아,컴퓨터공학,2.21,M
20238073,문준혁,화학,4.03,M
20235786,문준혁,컴퓨터공학,0.01,M
20238163,김철수,컴퓨터공학,1.44,M
20234392,박찬호,수학,1.78,M
20237118,한예슬,화학,4.34,M
20236317,강민수,수학,0.57,F
20237437,박영희,기계공학,1.87,F
20236862,이수정,컴퓨터공학,2.59,M
20232495,강민수,물리학,4.13,M
20233298,조윤희,수학,2.12,M
20235895,오세훈,전자공학,1.12,F
20236658,최지현,화학,0.67,M
20233156,이영수,수학,3.64,F
20235624,박영희,경제학,3.62,M
20235731,홍길동,경영학,0.87,F
20232621,오세훈,경제학,1.23,F
20237239,문준혁,물리학,3.76,M
20238300,문준혁,수학,0.56,M
20235869,이영수,경제학,2.49,F
20231696,이수정,경영학,4.4,F
20237873,조윤희,수학,0.57,F
20238462,김철수,수학,2.98,F
20233590,최지현,경제학,4.09,F
20235728,강민수,수학,2.85,F
20239781,문준혁,기계공학,3.54,M
20231009,홍길동,수학,0.91,M
20232343,김철수,컴퓨터공학,3.06,F
20231135,박찬호,화학,1.2,M
20239514,이영수,경제학,2.3,F
20232579,박찬호,경제학,2.87,F
20234042,조윤희,화학,3.47,M
20232759,최지현,기계공학,3.09,F
20237799,이영수,컴퓨터공학,3.2,M
20232280,양지훈,수학,2.35,F
20232950,한예슬,전자공학,2.63,F
20237416,강민수,경제학,1.77,M
20239412,이영수,경영학,0.88,M
20236628,이수정,컴퓨터공학,0.74,F
20239457,이영수,컴퓨터공학,3.14,M
20238861,백지연,컴퓨터공학,0.13,M
20231880,박영희,경영학,2.33,M
20232956,홍길동,컴퓨터공학,4.32,F
20239686,한예슬,수학,0.11,F
20232201,최지현,기계공학,4.3,M
20236224,홍길동,컴퓨터공학,1.56,F
20239256,홍길동,경영학,0.38,M
20234605,박영희,전자공학,3.16,M
20239722,박찬호,경제학,4.24,F
20234334,최지현,화학,2.57,M
20234776,홍길동,경제학,3.5,M
20237269,조윤희,경제학,1.26,M
20233830,한예슬,화학,2.76,F
20231512,서윤아,경제학,3.81,M
20237035,최지현,컴퓨터공학,0.61,M
20237005,강민수,물리학,2.12,M
20233350,양지훈,전자공학,4.37,M
20239865,서윤아,경제학,3.92,M
20239713,한예슬,컴퓨터공학,2.0,F
20236447,이수정,수학,2.17,M
20235489,이수정,수학,0.32,M
20236153,김철수,물리학,3.47,F
20234256,박찬호,물리학,1.89,M
20232933,박영희,기계공학,2.63,F
20234993,김철수,컴퓨터공학,3.79,F
20239615,양지훈,경제학,0.81,M
20231176,서윤아,전자공학,3.77,F
20239521,최지현,전자공학,4.5,M
20233251,문준혁,컴퓨터공학,2.51,F
20237508,최지현,컴퓨터공학,0.34,F
20237291,한예슬,수학,3.03,F
20234561,문준혁,전자공학,3.48,M
20235198,조윤희,기계공학,1.83,F
20237235,오세훈,기계공학,1.7,F
20238691,이수정,물리학,1.47,M
20239109,백지연,경제학,4.24,M
20237595,문준혁,전자공학,1.33,M
20232154,오세훈,컴퓨터공학,0.85,F
20234791,이영수,기계공학,0.75,M
20237079,강민수,경영학,3.22,M
20234003,이영수,기계공학,4.48,M
20236810,문준혁,전자공학,2.03,M
20239071,한예슬,수학,2.64,M
20238701,홍길동,경영학,4.42,M
20238513,한예슬,컴퓨터공학,0.33,M
20233558,강민수,물리학,2.02,F
20239934,박영희,화학,0.92,F
20233934,김철수,수학,3.66,F
20235302,강민수,경제학,2.97,F
20236709,박찬호,화학,3.54,M
20232482,박찬호,경제학,2.66,F
20232869,김철수,기계공학,1.59,F
20238222,오세훈,전자공학,2.91,M
20236951,양지훈,컴퓨터공학,4.48,M
20237449,백지연,기계공학,1.24,M
20234012,김철수,컴퓨터공학,4.46,M
20247721,최지현,경제학,0.86,F
20244468,양지훈,컴퓨터공학,3.06,M
20244662,홍길동,화학,0.98,F
20245704,문준혁,화학,3.68,M
20242671,조윤희,컴퓨터공학,2.62,M
20246162,최지현,물리학,4.23,M
20248019,문준혁,물리학,3.43,M
20244410,박찬호,컴퓨터공학,1.13,M
20247402,조윤희,기계공학,0.34,F
20246180,양지훈,경영학,0.79,F
20248798,조윤희,기계공학,0.31,M
20244897,한예슬,전자공학,3.84,F
20247157,한예슬,수학,1.29,F
20243640,박찬호,컴퓨터공학,1.26,F
20241801,양지훈,화학,1.19,F
20243366,이영수,수학,2.68,M
20245942,조윤희,화학,2.57,F
20245788,백지연,전자공학,3.62,F
20243437,문준혁,수학,1.85,F
20248319,이영수,경제학,2.59,F
20244890,박영희,물리학,3.11,M
20245908,한예슬,물리학,3.87,M
20249849,문준혁,컴퓨터공학,3.28,F
20248435,조윤희,전자공학,1.78,F
20245895,백지연,물리학,1.5,M
20243778,양지훈,수학,0.02,M
20245212,홍길동,물리학,0.25,F
20246895,문준혁,컴퓨터공학,2.68,M
20249357,이수정,경제학,0.56,M
20243410,서윤아,컴퓨터공학,2.9,F
20244573,이수정,물리학,3.88,F
20247339,문준혁,전자공학,0.57,F
20249305,박영희,기계공학,3.79,M
20241992,한예슬,기계공학,4.36,M
20247736,홍길동,경제학,2.36,F
20245435,김철수,경제학,0.42,M
20247095,문준혁,화학,1.67,F
20242239,강민수,기계공학,2.63,M
20243134,강민수,기계공학,3.76,F
20247310,이수정,전자공학,2.13,F
20242002,최지현,화학,3.45,F
20241263,백지연,컴퓨터공학,0.17,F
20242754,이영수,화학,2.12,M
20249358,최지현,경영학,0.08,F
20245336,백지연,전자공학,0.42,F
20245429,양지훈,컴퓨터공학,0.82,M
20249586,한예슬,수학,3.09,M
20245577,양지훈,물리학,0.2,F
20241746,서윤아,물리학,4.46,M
20241492,서윤아,전자공학,3.17,F
20247598,박찬호,경제학,0.18,M
20244039,강민수,수학,0.32,F
20246749,박찬호,컴퓨터공학,3.09,M
20244211,홍길동,기계공학,3.08,F
20243129,백지연,화학,1.32,F
20248096,백지연,전자공학,0.24,M
20242639,강민수,기계공학,0.98,F
20247785,오세훈,경제학,2.92,M
20242668,백지연,경영학,2.04,F
20244514,이수정,수학,3.49,F
20241254,박찬호,전자공학,0.89,M
20248407,조윤희,물리학,4.44,F
20245651,강민수,경영학,0.89,M
20249073,박영희,기계공학,2.21,F
20244302,박찬호,기계공학,4.35,M
20245426,김철수,수학,4.22,F
20245752,한예슬,수학,4.04,M
20245832,오세훈,수학,2.88,M
20242116,최지현,기계공학,2.09,F
20245721,양지훈,화학,1.19,F
20247438,문준혁,경영학,1.65,M
20246465,박찬호,기계공학,3.64,M
20245533,서윤아,물리학,0.22,F
20241032,최지현,기계공학,2.96,M
20247315,김철수,화학,2.71,M
20244888,이영수,경영학,0.84,F
20241807,양지훈,전자공학,1.11,F
20249307,서윤아,전자공학,2.63,M
20242854,이수정,물리학,4.22,M
20247428,이수정,화학,2.67,F
20247587,양지훈,컴퓨터공학,0.78,F
20246647,김철수,화학,0.4,F
20244240,박찬호,컴퓨터공학,0.54,F
20248513,김철수,물리학,0.32,M
20247100,이수정,기계공학,4.38,M
20246348,김철수,수학,1.26,F
20245564,이영수,경제학,4.49,F
20249384,조윤희,경제학,3.13,F
20243734,박찬호,물리학,0.91,M
20248187,조윤희,컴퓨터공학,2.42,M
20248817,홍길동,경제학,1.9,M
20247447,이수정,경영학,0.43,F
20241894,박찬호,물리학,0.43,F
20244053,이수정,화학,2.28,F
20245029,한예슬,기계공학,2.25,M
20244028,오세훈,경영학,1.25,M
20249445,문준혁,전자공학,3.39,M
20245020,강민수,컴퓨터공학,2.36,F
20244167,서윤아,전자공학,0.13,F
20247980,이수정,경제학,0.56,M
